"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Docker", "comment", "blank", "total"
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\Dockerfile", "Docker", 0, 0, 0, 19, 0, 9, 28
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\nodemon.json", "JSON", 6, 0, 0, 0, 0, 1, 7
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\package.json", "JSON", 39, 0, 0, 0, 0, 1, 40
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\app.ts", "TypeScript", 0, 0, 8, 0, 0, 3, 11
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\config.ts", "TypeScript", 0, 0, 40, 0, 0, 5, 45
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\constants.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\config\logger.ts", "TypeScript", 0, 0, 63, 0, 0, 3, 66
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\enum\redirect.enum.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 6
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\enum\services.enum.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 6
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\AuthenticationError.ts", "TypeScript", 0, 0, 2, 0, 0, 2, 4
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\EntityNotFoundError.ts", "TypeScript", 0, 0, 3, 0, 0, 2, 5
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\customError.ts", "TypeScript", 0, 0, 20, 0, 0, 3, 23
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\errors\types.d.ts", "TypeScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\error-handler.ts", "TypeScript", 0, 0, 48, 0, 0, 5, 53
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\logger-middleware.ts", "TypeScript", 0, 0, 27, 0, 0, 3, 30
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\middlewares\morgan-middleware.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\routes\v1.routes.ts", "TypeScript", 0, 0, 23, 0, 0, 3, 26
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\server.ts", "TypeScript", 0, 0, 24, 0, 0, 5, 29
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\services.ts", "TypeScript", 0, 0, 10, 0, 0, 1, 11
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\services\proxy.service.ts", "TypeScript", 0, 0, 67, 0, 0, 7, 74
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\src\utils\instanceError.ts", "TypeScript", 0, 0, 12, 0, 0, 1, 13
"c:\Users\mi\Desktop\PROYECTOS\REFACTOR\getway\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 1, 15
"Total", "-", 45, 14, 371, 19, 0, 61, 510
